time,analog
17.87999916,6989
17.90999985,6984
17.94000053,6977
17.96999931,6971
18.0,6964
18.03000069,6959
18.05999947,6953
18.09000015,6947
18.12000084,6941
18.14999962,6934
18.18000031,6930
18.20999908,6923
18.23999977,6918
18.27000046,6912
18.29999924,6906
18.32999992,6900
18.36000061,6895
18.38999939,6889
18.42000008,6884
18.45000076,6879
18.47999954,6873
18.51000023,6867
18.54000092,6862
18.56999969,6857
18.60000038,6851
18.62999916,6846
18.65999985,6840
18.69000053,6835
18.71999931,6828
18.75,6824
18.78000069,6819
18.80999947,6813
18.84000015,6809
18.87000084,6803
18.89999962,6798
18.93000031,6794
18.95999908,6789
18.98999977,6783
19.02000046,6779
19.04999924,6773
19.07999992,6769
19.11000061,6763
19.13999939,6758
19.17000008,6753
19.20000076,6749
19.22999954,6744
19.26000023,6740
19.29000092,6734
19.31999969,6730
19.35000038,6725
19.37999916,6721
19.40999985,6716
19.44000053,6711
19.46999931,6706
19.5,6702
19.53000069,6698
19.55999947,6693
19.59000015,6688
19.62000084,6683
19.64999962,6680
19.68000031,6675
19.70999908,6669
19.73999977,6666
19.77000046,6661
19.79999924,6658
19.82999992,6653
19.86000061,6649
19.88999939,6645
19.92000008,6640
19.95000076,6636
19.97999954,6632
20.01000023,6628
20.04000092,6624
20.06999969,6619
20.10000038,6615
20.12999916,6611
20.15999985,6607
20.19000053,6603
20.21999931,6599
20.25,6595
20.28000069,6590
20.30999947,6587
20.34000015,6582
20.37000084,6578
20.39999962,6575
20.43000031,6571
20.45999908,6566
20.48999977,6563
20.52000046,6558
20.54999924,6555
20.57999992,6551
20.61000061,6548
20.63999939,6544
20.67000008,6540
20.70000076,6537
20.72999954,6533
20.76000023,6529
20.79000092,6525
20.81999969,6521
20.85000038,6519
20.87999916,6514
20.90999985,6511
20.94000053,6506
20.96999931,6503
21.0,6500
21.03000069,6495
21.05999947,6492
21.09000015,6489
21.12000084,6485
21.14999962,6482
21.18000031,6479
21.20999908,6475
21.23999977,6472
21.27000046,6469
21.29999924,6465
21.32999992,6461
21.36000061,6458
21.38999939,6454
21.42000008,6451
21.45000076,6448
21.47999954,6445
21.51000023,6441
21.54000092,6438
21.56999969,6435
21.60000038,6431
21.62999916,6429
21.65999985,6425
21.69000053,6423
21.71999931,6419
21.75,6415
21.78000069,6412
21.80999947,6409
21.84000015,6406
21.87000084,6402
21.89999962,6400
21.93000031,6396
21.95999908,6394
21.98999977,6390
22.02000046,6387
22.04999924,6384
22.07999992,6382
22.11000061,6379
22.13999939,6376
22.17000008,6372
22.20000076,6370
22.22999954,6367
22.26000023,6363
22.29000092,6361
22.31999969,6357
22.35000038,6355
22.37999916,6352
22.40999985,6349
22.44000053,6346
22.46999931,6343
22.5,6341
22.53000069,6338
22.55999947,6335
22.59000015,6332
22.62000084,6329
22.64999962,6326
22.68000031,6324
22.70999908,6321
22.73999977,6318
22.77000046,6315
22.79999924,6312
22.82999992,6310
22.86000061,6307
22.88999939,6304
22.92000008,6301
22.95000076,6299
22.97999954,6296
23.01000023,6294
23.04000092,6291
23.06999969,6288
23.10000038,6285
23.12999916,6283
23.15999985,6280
23.19000053,6278
23.21999931,6276
23.25,6273
23.28000069,6270
23.30999947,6268
23.34000015,6265
23.37000084,6263
23.39999962,6260
23.43000031,6258
23.45999908,6255
23.48999977,6252
23.52000046,6250
23.54999924,6247
23.57999992,6245
23.61000061,6242
23.63999939,6241
23.67000008,6237
23.70000076,6235
23.72999954,6233
23.76000023,6231
23.79000092,6228
23.81999969,6226
23.85000038,6224
23.87999916,6220
23.90999985,6218
23.94000053,6216
23.96999931,6213
24.0,6211
24.03000069,6209
24.05999947,6206
24.09000015,6205
24.12000084,6202
24.14999962,6200
24.18000031,6198
24.20999908,6195
24.23999977,6193
24.27000046,6190
24.29999924,6189
24.32999992,6187
24.36000061,6184
24.38999939,6182
24.42000008,6179
24.45000076,6177
24.47999954,6175
24.51000023,6173
24.54000092,6170
24.56999969,6167
24.60000038,6166
24.62999916,6164
24.65999985,6161
24.69000053,6159
24.71999931,6157
24.75,6154
24.78000069,6153
24.80999947,6150
24.84000015,6147
24.87000084,6145
24.89999962,6142
24.93000031,6140
24.95999908,6139
24.98999977,6135
25.02000046,6134
25.04999924,6131
25.07999992,6129
25.11000061,6128
25.13999939,6125
25.17000008,6123
25.20000076,6120
25.22999954,6118
25.26000023,6116
25.29000092,6114
25.31999969,6111
25.35000038,6109
25.37999916,6106
25.40999985,6104
25.44000053,6103
25.46999931,6100
25.5,6098
25.53000069,6096
25.55999947,6094
25.59000015,6092
25.62000084,6089
25.64999962,6088
25.68000031,6085
25.70999908,6082
25.73999977,6079
25.77000046,6079
25.79999924,6077
25.82999992,6075
25.86000061,6073
25.88999939,6071
25.92000008,6068
25.95000076,6067
25.97999954,6065
26.01000023,6062
26.04000092,6058
26.06999969,6058
26.10000038,6056
26.12999916,6054
26.15999985,6052
26.19000053,6050
26.21999931,6048
26.25,6046
26.28000069,6043
26.30999947,6042
26.34000015,6040
26.37000084,6036
26.39999962,6036
26.43000031,6034
26.45999908,6032
26.48999977,6030
26.52000046,6028
26.54999924,6026
26.57999992,6024
26.61000061,6022
26.63999939,6020
26.67000008,6018
26.70000076,6015
26.72999954,6014
26.76000023,6012
26.79000092,6011
26.81999969,6008
26.85000038,6007
26.87999916,6005
26.90999985,6003
26.94000053,6001
26.96999931,5999
27.0,5997
27.03000069,5995
27.05999947,5994
27.09000015,5992
27.12000084,5989
27.14999962,5987
27.18000031,5986
27.20999908,5985
27.23999977,5983
27.27000046,5979
27.29999924,5979
27.32999992,5977
27.36000061,5975
27.38999939,5973
27.42000008,5971
27.45000076,5970
27.47999954,5968
27.51000023,5967
27.54000092,5965
27.56999969,5963
27.60000038,5960
27.62999916,5959
27.65999985,5958
27.69000053,5956
27.71999931,5954
27.75,5953
27.78000069,5951
27.80999947,5949
27.84000015,5947
27.87000084,5946
27.89999962,5944
27.93000031,5941
27.95999908,5941
27.98999977,5939
28.02000046,5937
28.04999924,5935
28.07999992,5935
28.11000061,5933
28.13999939,5931
28.17000008,5929
28.20000076,5928
28.22999954,5926
28.26000023,5924
28.29000092,5923
28.31999969,5922
28.35000038,5920
28.37999916,5917
28.40999985,5917
28.44000053,5915
28.46999931,5914
28.5,5911
28.53000069,5910
28.55999947,5908
28.59000015,5906
28.62000084,5906
28.64999962,5904
28.68000031,5903
28.70999908,5901
28.73999977,5901
28.77000046,5898
28.79999924,5897
28.82999992,5895
28.86000061,5893
28.88999939,5892
28.92000008,5891
28.95000076,5889
28.97999954,5888
29.01000023,5887
29.04000092,5885
29.06999969,5883
29.10000038,5883
29.12999916,5880
29.15999985,5878
29.19000053,5877
29.21999931,5876
29.25,5874
29.28000069,5872
29.30999947,5872
29.34000015,5870
29.37000084,5869
29.39999962,5867
29.43000031,5866
29.45999908,5865
29.48999977,5862
29.52000046,5861
29.54999924,5860
29.57999992,5859
29.61000061,5857
29.63999939,5857
29.67000008,5855
29.70000076,5854
29.72999954,5851
29.76000023,5851
29.79000092,5849
29.81999969,5848
29.85000038,5846
29.87999916,5845
29.90999985,5844
29.94000053,5842
29.96999931,5841
